Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
18.5,17169.10,    0.00,    4.00, 3123.06,21142.32
18.6,23620.76469,    0.00000,   82.73437,10361.02759,43676.27525
18.8, 41624.0982, 17561.7301,   307.5664, 38447.8759,124476.8540
19.0, 57441.059,240757.939,  2026.242, 87130.920,574955.619
19.2, 176282.7,1096688.6,  13800.6, 151420.7, 807192.8
19.4, 369219.12,1346966.12,  73138.02, 233188.12,1039150.93
19.6, 534937.4,1379123.8, 113519.5, 305960.4,1200609.0
19.8, 643903.5,1385131.8, 132968.1, 366759.2,1340200.9
20.0, 728121.5,1386267.8, 146645.6, 397259.2,1467977.7
20.2, 801500.0,1386403.8, 152552.8, 416451.8,1558541.8
20.4, 879157.8,1386913.3, 155317.8, 430096.6,1636737.8
20.6, 947892.0,1387377.5, 155475.1, 438121.3,1692425.8
20.8,1053712.2,1388637.4, 156190.2, 444560.1,1723803.4
21.0,1159326.8,1389510.4, 156510.6, 449794.3,1732201.6
21.2,1189227.6,1389640.0, 156574.6, 454785.4,1738889.4
21.4,1199412.9,1389640.0, 156574.6, 458370.2,1743077.1
21.6,1205151.5,1389640.0, 156574.6, 460687.6,1745483.1
21.8,1208540.8,1389640.0, 156574.6, 462472.1,1746546.5
22.0,1210358.1,1389640.0, 156574.6, 464209.9,1747116.3
